"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"22:53:34,1549542","LEGOMarvel.exe","3244","CreateFile","C:\Users\User\AppData\Roaming\Warner Bros. Interactive Entertainment\LEGO MARVEL Super Heroes\CachedShaders\0x931b0540.pcode","NAME NOT FOUND","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, AllocationSize: n/a"
"22:53:34,1550513","LEGOMarvel.exe","3244","CreateFile","C:\Users\User\AppData\Roaming\Warner Bros. Interactive Entertainment\LEGO MARVEL Super Heroes\CachedShaders\0x17ca4b38.vcode","NAME NOT FOUND","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, AllocationSize: n/a"
"22:53:34,1551364","LEGOMarvel.exe","3244","CreateFile","C:\Users\User\AppData\Roaming\Warner Bros. Interactive Entertainment\LEGO MARVEL Super Heroes\CachedShaders\0xf934c400.pcode","NAME NOT FOUND","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, AllocationSize: n/a"
"22:53:34,1552334","LEGOMarvel.exe","3244","CreateFile","C:\Users\User\AppData\Roaming\Warner Bros. Interactive Entertainment\LEGO MARVEL Super Heroes\CachedShaders\0x0d3d7bbe.vcode","NAME NOT FOUND","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, AllocationSize: n/a"
"22:53:34,1553488","LEGOMarvel.exe","3244","CreateFile","C:\Users\User\AppData\Roaming\Warner Bros. Interactive Entertainment\LEGO MARVEL Super Heroes\CachedShaders\0x9b22393d.pcode","NAME NOT FOUND","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, AllocationSize: n/a"
"22:53:34,1555135","LEGOMarvel.exe","3244","CreateFile","C:\Users\User\AppData\Roaming\Warner Bros. Interactive Entertainment\LEGO MARVEL Super Heroes\CachedShaders\0xc7434a31.vcode","NAME NOT FOUND","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, AllocationSize: n/a"
"22:53:34,1556003","LEGOMarvel.exe","3244","CreateFile","C:\Users\User\AppData\Roaming\Warner Bros. Interactive Entertainment\LEGO MARVEL Super Heroes\CachedShaders\0xf3374fa0.pcode","NAME NOT FOUND","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, AllocationSize: n/a"
"22:53:34,1556980","LEGOMarvel.exe","3244","CreateFile","C:\Users\User\AppData\Roaming\Warner Bros. Interactive Entertainment\LEGO MARVEL Super Heroes\CachedShaders\0x44818582.vcode","NAME NOT FOUND","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, AllocationSize: n/a"
"22:53:34,1558135","LEGOMarvel.exe","3244","CreateFile","C:\Users\User\AppData\Roaming\Warner Bros. Interactive Entertainment\LEGO MARVEL Super Heroes\CachedShaders\0xcd6b4370.pcode","NAME NOT FOUND","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, AllocationSize: n/a"
"22:53:34,1559744","LEGOMarvel.exe","3244","CreateFile","C:\Users\User\AppData\Roaming\Warner Bros. Interactive Entertainment\LEGO MARVEL Super Heroes\CachedShaders\0xf13ce173.vcode","NAME NOT FOUND","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, AllocationSize: n/a"
"22:53:34,1560620","LEGOMarvel.exe","3244","CreateFile","C:\Users\User\AppData\Roaming\Warner Bros. Interactive Entertainment\LEGO MARVEL Super Heroes\CachedShaders\0x0661edfc.pcode","NAME NOT FOUND","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, AllocationSize: n/a"
"22:53:34,1561519","LEGOMarvel.exe","3244","CreateFile","C:\Users\User\AppData\Roaming\Warner Bros. Interactive Entertainment\LEGO MARVEL Super Heroes\CachedShaders\0x6d6e1d70.vcode","NAME NOT FOUND","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, AllocationSize: n/a"
